GeographyKey,GeographyTypeKey,GeographyType,ContinentName,CityName,StateProvinceName,RegionCountryName
1,1,Continente,Asia,,,
2,1,Continente,Europa,,,
3,1,Continente,América del Norte,,,
269,2,País o región,Asia,,,Armenia
270,2,País o región,Asia,,,Australia
271,2,País o región,Asia,,,Bután
272,2,País o región,Asia,,,China
273,2,País o región,Asia,,,India
274,2,País o región,Asia,,,Irán
275,2,País o región,Asia,,,Japón
276,2,País o región,Asia,,,Kirguistán
277,2,País o región,Asia,,,Pakistán
278,2,País o región,Asia,,,Singapur
279,2,País o región,Asia,,,Corea del Sur
280,2,País o región,Asia,,,Siria
281,2,País o región,Asia,,,Taiwán
282,2,País o región,Asia,,,Tailandia
283,2,País o región,Asia,,,Turkmenistán
284,2,País o región,Europa,,,Dinamarca       
285,2,País o región,Europa,,,Francia
286,2,País o región,Europa,,,Alemania 
287,2,País o región,Europa,,,Grecia 
288,2,País o región,Europa,,,los Países Bajos
289,2,País o región,Europa,,,Irlanda 
290,2,País o región,Europa,,,Italia    
291,2,País o región,Europa,,,Malta
292,2,País o región,Europa,,,Polonia 
293,2,País o región,Europa,,,Portugal
294,2,País o región,Europa,,,Rumania 
295,2,País o región,Europa,,,Rusia
296,2,País o región,Europa,,,Eslovenia
297,2,País o región,Europa,,,España
298,2,País o región,Europa,,,Suecia 
299,2,País o región,Europa,,,Suiza 
300,2,País o región,Europa,,,Reino Unido
301,2,País o región,América del Norte,,,Canadá
302,2,País o región,América del Norte,,,Estados Unidos
303,3,Estado o provincia,Asia,,Provincia de Ahal,Turkmenistán
304,3,Estado o provincia,Asia,,Armenia,Armenia
305,3,Estado o provincia,Asia,,Pekín,China
306,3,Estado o provincia,Asia,,Chubu,Japón
307,3,Estado o provincia,Asia,,Provincia chuy,Kirguistán
308,3,Estado o provincia,Asia,,Damasco,Siria
309,3,Estado o provincia,Asia,,GuangDong,China
310,3,Estado o provincia,Asia,,Hokkaido,Japón
311,3,Estado o provincia,Asia,,Hong Kong,China
312,3,Estado o provincia,Asia,,Territorio de la capital de Islamabad,Pakistán
313,3,Estado o provincia,Asia,,Kansai,Japón
314,3,Estado o provincia,Asia,,Kanto,Japón
315,3,Estado o provincia,Asia,,Krung Thep,Tailandia
316,3,Estado o provincia,Asia,,Maharastra,India
317,3,Estado o provincia,Asia,,Molonglo,Australia
318,3,Estado o provincia,Asia,,Territorio de la capital de nacionales de Delhi,India
319,3,Estado o provincia,Asia,,Nueva Gales del Sur,Australia
320,3,Estado o provincia,Asia,,Seúl jikhalsi,Corea del Sur
321,3,Estado o provincia,Asia,,Shanghai,China
322,3,Estado o provincia,Asia,,Singapur,Singapur
323,3,Estado o provincia,Asia,,Taiwán,Taiwán
324,3,Estado o provincia,Asia,,Teherán,Irán
