ProductKey,ProductName,ProductDescription,ProductSubcategoryKey,Manufacturer,BrandName,ClassID,ClassName,StyleID,StyleName,ColorID,ColorName,Weight,WeightUnitMeasureID,UnitOfMeasureID,UnitOfMeasureName,StockTypeID,StockTypeName,UnitCost,UnitPrice,AvailableForSaleDate,Status
1,Contoso Reproductor MP3 de 512 MB E51 Plata,Contoso Reproductor MP3 de 512 MB E51 Plata,1,"Contoso, Ltd",Contoso,1,Economía,1,Product0101001,7,Plata,"4,8",gramos,1,centímetros,1,Alto,"6,62","12,99",2005-05-03,Activad
2,Contoso Reproductor MP3 de 512 MB E51 Azul,Contoso Reproductor MP3 de 512 MB E51 Azul,1,"Contoso, Ltd",Contoso,1,Economía,5,Product0101002,3,Azul,"4,1",gramos,1,centímetros,1,Alto,"6,62","12,99",2005-05-03,Activad
3,Contoso Reproductor MP3 de 1 G E100 Blanco,Contoso Reproductor MP3 de 1 G E100 Blanco,1,"Contoso, Ltd",Contoso,1,Economía,1,Product0101003,8,Blanco,"4,5",gramos,1,centímetros,2,Medio,"7,40","14,52",2006-05-13,Activad
4,Contoso Reproductor MP3 de 2 GB E200 Plata,Contoso Reproductor MP3 de 2 GB E200 Plata,1,"Contoso, Ltd",Contoso,1,Economía,1,Product0101004,7,Plata,"4,5",gramos,1,centímetros,2,Medio,"11,00","21,57",2006-12-16,Activad
5,Contoso Reproductor MP3 de 2 GB E200 Red,Contoso Reproductor MP3 de 2 GB E200 Red,1,"Contoso, Ltd",Contoso,1,Economía,1,Product0101005,6,Red,"2,4",gramos,1,centímetros,2,Medio,"11,00","21,57",2006-12-17,Activad
6,Contoso Reproductor MP3 de 2 GB E200 Negro,Contoso Reproductor MP3 de 2 GB E200 Negro,1,"Contoso, Ltd",Contoso,1,Economía,2,Product0101006,2,Negro,"8,8",gramos,1,centímetros,2,Medio,"11,00","21,57",2006-12-18,Activad
7,Contoso Reproductor MP3 de 2 GB E200 Azul,Contoso Reproductor MP3 de 2 GB E200 Azul,1,"Contoso, Ltd",Contoso,1,Economía,1,Product0101007,3,Azul,"2,1",gramos,1,centímetros,2,Medio,"11,00","21,57",2006-12-19,Activad
8,Contoso Reproductor MP3 de 4 GB E400 Plata,Contoso Reproductor MP3 de 4 GB E400 Plata,1,"Contoso, Ltd",Contoso,1,Economía,2,Product0101008,7,Plata,"5,6",gramos,1,centímetros,2,Medio,"30,58","59,99",2007-04-16,Activad
9,Contoso Reproductor MP3 de 4 GB E400 Negro,Contoso Reproductor MP3 de 4 GB E400 Negro,1,"Contoso, Ltd",Contoso,1,Economía,1,Product0101009,2,Negro,"2,1",gramos,1,centímetros,2,Medio,"30,58","59,99",2007-04-16,Activad
10,Contoso Reproductor MP3 de 4 GB E400 Verde,Contoso Reproductor MP3 de 4 GB E400 Verde,1,"Contoso, Ltd",Contoso,1,Economía,1,Product0101010,14,Verde,11,gramos,1,centímetros,2,Medio,"30,58","59,99",2007-04-16,Activad
11,Contoso Reproductor MP3 de 4 GB E400 Naranja,Contoso Reproductor MP3 de 4 GB E400 Naranja,1,"Contoso, Ltd",Contoso,1,Economía,1,Product0101011,9,Naranja,"14,1",gramos,1,centímetros,2,Medio,"30,58","59,99",2007-04-16,Activad
12,Contoso Reproductor MP3 Flash de 4 GB E401 Azul,Contoso Reproductor MP3 Flash de 4 GB E401 Azul,1,"Contoso, Ltd",Contoso,1,Economía,3,Product0101012,3,Azul,"7,4",gramos,1,centímetros,2,Medio,"35,72","77,68",2007-06-16,Activad
13,Contoso Reproductor MP3 Flash de 4 GB E401 Negro,Contoso Reproductor MP3 Flash de 4 GB E401 Negro,1,"Contoso, Ltd",Contoso,1,Economía,4,Product0101013,2,Negro,"2,6",gramos,1,centímetros,2,Medio,"35,72","77,68",2007-06-16,Activad
14,Contoso Reproductor MP3 Flash de 4 GB E401 Plata,Contoso Reproductor MP3 Flash de 4 GB E401 Plata,1,"Contoso, Ltd",Contoso,1,Economía,1,Product0101014,7,Plata,8,gramos,1,centímetros,2,Medio,"35,72","77,68",2007-06-16,Activad
15,Contoso Reproductor MP3 Flash de 4 GB E401 Blanco,Contoso Reproductor MP3 Flash de 4 GB E401 Blanco,1,"Contoso, Ltd",Contoso,1,Economía,4,Product0101015,8,Blanco,"2,1",gramos,1,centímetros,2,Medio,"35,72","77,68",2007-06-16,Activad
16,Contoso Reproductor de vídeo y MP3 superdelgado de 8 GB M800 Blanco,Contoso Reproductor de vídeo y MP3 superdelgado de 8 GB M800 Blanco,1,"Contoso, Ltd",Contoso,2,Normal,3,Product0101016,8,Blanco,11,gramos,1,centímetros,2,Medio,"50,56","109,95",2008-01-16,Activad
17,Contoso Reproductor de vídeo y MP3 superdelgado de 8 GB M800 Red,Contoso Reproductor de vídeo y MP3 superdelgado de 8 GB M800 Red,1,"Contoso, Ltd",Contoso,2,Normal,1,Product0101017,6,Red,11,gramos,1,centímetros,2,Medio,"50,56","109,95",2008-01-16,Activad
18,Contoso Reproductor de vídeo y MP3 superdelgado de 8 GB M800 Verde,Contoso Reproductor de vídeo y MP3 superdelgado de 8 GB M800 Verde,1,"Contoso, Ltd",Contoso,2,Normal,3,Product0101018,14,Verde,"2,1",gramos,1,centímetros,2,Medio,"50,56","109,95",2008-01-16,Activad
19,Contoso Reproductor de vídeo y MP3 superdelgado de 8 GB M800 Rosa,Contoso Reproductor de vídeo y MP3 superdelgado de 8 GB M800 Rosa,1,"Contoso, Ltd",Contoso,2,Normal,1,Product0101019,10,Rosa,"5,9",gramos,1,centímetros,2,Medio,"50,56","109,95",2008-01-16,Activad
20,Contoso Nuevo modelo de reproductor MP3 de 8 GB  M820 Negro,Contoso Nuevo modelo de reproductor MP3 de 8 GB  M820 Negro,1,"Contoso, Ltd",Contoso,2,Normal,4,Product0101020,2,Negro,1,kilogramos,1,centímetros,2,Medio,"61,62","134,00",2008-03-20,Activad
21,Contoso Nuevo modelo de reproductor MP3 de 8 GB  M820 Azul,Contoso Nuevo modelo de reproductor MP3 de 8 GB  M820 Azul,1,"Contoso, Ltd",Contoso,2,Normal,1,Product0101021,3,Azul,"10,6",gramos,1,centímetros,2,Medio,"61,62","134,00",2008-03-20,Activad
22,Contoso Nuevo modelo de reproductor MP3 de 8 GB  M820 Amarillo,Contoso Nuevo modelo de reproductor MP3 de 8 GB  M820 Amarillo,1,"Contoso, Ltd",Contoso,2,Normal,4,Product0101022,13,Amarillo,1,gramos,1,centímetros,2,Medio,"61,62","134,00",2008-03-20,Activad
