StoreKey,GeographyKey,StoreManager,StoreType,StoreName,Status,OpenDate,CloseDate,EntityKey,StorePhone,StoreFax,CloseReason,EmployeeCount,SellingAreaSize,LastRemodelDate,ImageUrl,EmployeeKey
1,693,35,Almacén,Almacén nº 1 en Seattle de Contoso,Activado,2004-04-12,2090-12-31,635,320-555-0195,320-555-0195,Not Yet Closed,17,462,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,35
2,693,35,Almacén,Almacén nº 2 en Seattle de Contoso,Activado,2004-02-14,2090-12-31,636,150-555-0189,150-555-0189,Not Yet Closed,25,700,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,35
3,856,36,Almacén,Almacén en Kennewick de Contoso,Activado,2004-02-12,2090-12-31,934,212-555-0187,212-555-0187,Not Yet Closed,26,680,2009-06-18 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,36
4,424,37,Almacén,Almacén en Bellevue de Contoso,Activado,2004-03-01,2090-12-31,638,612-555-0100,612-555-0100,Not Yet Closed,19,455,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,37
5,677,38,Almacén,Almacén en Redmond de Contoso,Activado,2004-04-02,2090-12-31,639,612-555-0100,612-555-0100,Not Yet Closed,33,560,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,38
6,575,39,Almacén,Almacén en Yakima de Contoso,Activado,2005-05-15,2090-12-31,640,168-555-0183,168-555-0183,Not Yet Closed,47,1125,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,39
7,838,40,Almacén,Almacén en Granger de Contoso,Activado,2004-06-16,2090-12-31,641,913-555-0172,913-555-0172,Not Yet Closed,22,500,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,40
8,935,41,Almacén,Almacén en Sunnyside de Contoso,Activado,2004-07-02,2090-12-31,642,913-555-0172,913-555-0172,Not Yet Closed,17,460,2009-06-18 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,41
9,941,42,Almacén,Almacén en Toppenish de Contoso,Activado,2004-08-18,2090-12-31,643,903-555-0145,903-555-0145,Not Yet Closed,25,700,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,42
10,947,43,Almacén,Almacén en Wapato de Contoso,Activado,2004-09-19,2090-12-31,644,145-555-0130,145-555-0130,Not Yet Closed,25,700,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,43
11,813,44,Almacén,Almacén en Cle Elum de Contoso,Activado,2004-10-20,2090-12-31,645,849-555-0139,849-555-0139,Not Yet Closed,26,680,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,44
12,893,45,Almacén,Almacén en North Bend de Contoso,Desactivado,2004-11-21,2009-04-12,646,206-555-0180,206-555-0180,Relocation,19,455,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,45
13,930,46,Almacén,Almacén en Snoqualmie de Contoso,Activado,2004-12-22,2090-12-31,647,122-555-0189,122-555-0189,Not Yet Closed,33,560,2009-06-18 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,46
14,825,47,Almacén,Almacén en Fall City de Contoso,Activado,2006-01-23,2090-12-31,648,819-555-0175,819-555-0175,Not Yet Closed,47,1125,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,47
15,678,48,Almacén,Almacén en Renton de Contoso,Activado,2004-02-24,2090-12-31,649,424-555-0189,424-555-0189,Not Yet Closed,22,500,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,48
16,627,49,Almacén,Almacén en Everett de Contoso,Activado,2004-01-25,2090-12-31,650,508-555-0165,508-555-0165,Not Yet Closed,17,462,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,49
17,551,135,Almacén,Almacén en Spokane de Contoso,Activado,2004-03-26,2090-12-31,651,984-555-0185,984-555-0185,Not Yet Closed,25,700,2009-06-17 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,135
18,944,50,Almacén,Almacén en Veradale de Contoso,Activado,2004-07-27,2090-12-31,652,632-555-0129,632-555-0129,Not Yet Closed,26,680,2009-06-18 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,50
19,812,51,Almacén,Almacén en Cheney de Contoso,Desactivado,2004-08-28,2009-05-12,653,328-555-0150,328-555-0150,Store,19,455,2009-06-16 00:00:00,http://photosynth.net/embed.aspx?cid=a32ab621-0d0d-4029-b8e8-5dbca05625eb&delayLoad=false&slideShowPlaying=true,51
